seqname,tax_id
A00002494,g__Neisseria
A00002497,g__Thioalkalimicrobium
A00002496,g__Burkholderia
A00005447,g__Pseudomonas
A00002490,g__Escherichia
A00002493,f__Rhodobacteraceae
A00002492,g__Congregibacter
A00003548,g__Lactobacillus
A00003549,g__Streptococcus
A00003540,g__Parascardovia
A00003541,g__Aggregatibacter
A00003542,o__Rhizobiales
A00003543,g__Pantoea
A00003544,g__Lactobacillus
A00003546,g__Enterococcus
A00003547,g__Staphylococcus
A00002239,g__Lactobacillus
A00002238,g__Campylobacter
A00002231,f__Methylophilaceae
A00002230,g__Vibrio
A00002233,g__Selenomonas
A00002235,g__Deinococcus
A00002234,g__Streptococcus
A00002237,g__Campylobacter
A00002236,f__Chromatiaceae
A00002587,g__Bacillus
A00002586,g__Legionella
A00002585,g__Desulfatibacillum
A00002856,g__Streptococcus
A00003728,g__Porphyromonas
A00003729,g__Burkholderia
A00003724,g__Lactobacillus
A00002583,g__Mycobacterium
A00003726,g__Pseudomonas
A00003727,g__Prevotella
A00003720,g__Stenotrophomonas
A00003721,g__Lactococcus
A00003722,g__Amycolatopsis
A00002582,g__Lactobacillus
A00002853,g__Lactobacillus
A00002580,g__Bacillus
A00000610,g__Dinoroseobacter
A00001413,g__Fibrobacter
A00005562,f__Comamonadaceae
A00005656,g__Leptospira
A00000408,g__Lactobacillus
A00000409,g__Lactobacillus
A00000158,g__Mycobacterium
A00000159,g__Mycobacterium
A00000156,g__Mycobacterium
A00000157,g__Mycobacterium
A00000154,f__Thermoanaerobacteraceaee1
A00000155,g__Mycobacterium
A00000152,f__Methylophilaceae
A00000153,f__Methylococcaceae
A00000150,g__Methanothermobacter
A00000151,f__Methanomicrobiaceae
A00005563,g__Streptococcus
A00003437,f__Rhodobacteraceae
A00004099,g__Streptococcus
A00004098,g__Bradyrhizobium
A00004093,g__Saccharopolyspora
A00004092,g__Bradyrhizobium
A00004091,o__Bacillales
A00004090,f__Lachnospiraceae
A00004097,g__Haemophilus
A00004096,g__Staphylococcus
A00004095,g__Glaciecola
A00004094,g__Bradyrhizobium
A00001573,g__Bifidobacterium
A00001572,g__Bifidobacterium
A00001571,g__Bacillus
A00001570,g__Bacillus
A00001577,f__Alcaligenaceae
A00001576,g__Bifidobacterium
A00001575,g__Bifidobacterium
A00001574,g__Bifidobacterium
A00004277,g__Rhizobium
A00004276,g__Saccharomonospora
A00004274,g__Teredinibacter
A00004273,g__Desulfobacter
