tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
g__Polaromonas,f__Comamonadaceae,genus,g__Polaromonas,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas,
g__Pyrobaculum,f__Thermoproteaceae,genus,g__Pyrobaculum,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,
g__Pseudoxanthomonas,f__Xanthomonadaceae,genus,g__Pseudoxanthomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,
s__lactamica,g__Neisseria,species,s__lactamica,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__lactamica
g__Geobacillus,f__Bacillaceae,genus,g__Geobacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,
f__Xanthobacteraceae,o__Rhizobiales,family,f__Xanthobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,
g__Ancylobacter,f__Xanthobacteraceae,genus,g__Ancylobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Ancylobacter,
s__difficile,g__Peptoclostridium,species,s__difficile,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoclostridium,s__difficile
f__Cyclobacteriaceae,o__Cytophagales,family,f__Cyclobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,,
g__Echinicola,f__Cyclobacteriaceae,genus,g__Echinicola,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Echinicola,
g__Abiotrophia,f__Lachnospiraceae,genus,g__Abiotrophia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Abiotrophia,
g__Leuconostoc,f__Lactobacillaceae,genus,g__Leuconostoc,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,
f__[Halobacillaceae],o__Bacillales,family,f__[Halobacillaceae],Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__[Halobacillaceae],,
g__Acidaminococcus,f__Veillonellaceae,genus,g__Acidaminococcus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Acidaminococcus,
s__intestini,g__Acidaminococcus,species,s__intestini,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Acidaminococcus,s__intestini
f__[Barnesiellaceae],o__Bacteroidales,family,f__[Barnesiellaceae],Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Barnesiellaceae],,
g__Phascolarctobacterium,f__Veillonellaceae,genus,g__Phascolarctobacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Phascolarctobacterium,
o__SJA-15,c__Anaerolineae,order,o__SJA-15,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,,,
f__Syntrophorhabdaceae,o__Syntrophobacterales,family,f__Syntrophorhabdaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,f__Syntrophorhabdaceae,,
g__Syntrophorhabdus,f__Syntrophorhabdaceae,genus,g__Syntrophorhabdus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,f__Syntrophorhabdaceae,g__Syntrophorhabdus,
g__Mycoplasma,f__Mycoplasmataceae,genus,g__Mycoplasma,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,
g__Neorickettsia,f__Anaplasmataceae,genus,g__Neorickettsia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Neorickettsia,
o__[Pelagibacterales],c__Alphaproteobacteria,order,o__[Pelagibacterales],Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],,,
f__[Pelagibacteraceae],o__[Pelagibacterales],family,f__[Pelagibacteraceae],Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],f__[Pelagibacteraceae],,
g__Candidatus_Pelagibacter,f__[Pelagibacteraceae],genus,g__Candidatus_Pelagibacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],f__[Pelagibacteraceae],g__Candidatus_Pelagibacter,
s__ubique,g__Candidatus_Pelagibacter,species,s__ubique,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],f__[Pelagibacteraceae],g__Candidatus_Pelagibacter,s__ubique
g__Enterobacter,f__Enterobacteriaceae,genus,g__Enterobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,
p__Atribacteria,k__Bacteria,phylum,p__Atribacteria,Root,k__Bacteria,p__Atribacteria,,,,,
f__[Saccharimonaceae],o__[Saccharimonales],family,f__[Saccharimonaceae],Root,k__Bacteria,p__Saccharibacteria,c__[Saccharimonia],o__[Saccharimonales],f__[Saccharimonaceae],,
g__Candidatus_Saccharimonas,f__[Saccharimonaceae],genus,g__Candidatus_Saccharimonas,Root,k__Bacteria,p__Saccharibacteria,c__[Saccharimonia],o__[Saccharimonales],f__[Saccharimonaceae],g__Candidatus_Saccharimonas,
g__Paenibacillus,f__Paenibacillaceae,genus,g__Paenibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,
s__mucilaginosus,g__Paenibacillus,species,s__mucilaginosus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__mucilaginosus
s__atypica,g__Veillonella,species,s__atypica,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,s__atypica
g__Megasphaera,f__Veillonellaceae,genus,g__Megasphaera,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Megasphaera,
g__Cohnella,f__Paenibacillaceae,genus,g__Cohnella,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Cohnella,
s__panacarvi,g__Cohnella,species,s__panacarvi,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Cohnella,s__panacarvi
g__Rhodanobacter,f__Xanthomonadaceae,genus,g__Rhodanobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Rhodanobacter,
s__yurii,g__Peptoclostridium,species,s__yurii,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoclostridium,s__yurii
g__Methylophaga,f__Piscirickettsiaceae,genus,g__Methylophaga,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__Methylophaga,
g__Fischerella,f__Nostocaceae,genus,g__Fischerella,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Nostocaceae,g__Fischerella,
o__Pseudanabaenales,c__Oxyphotobacteria,order,o__Pseudanabaenales,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Pseudanabaenales,,,
f__Pseudanabaenaceae,o__Pseudanabaenales,family,f__Pseudanabaenaceae,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Pseudanabaenales,f__Pseudanabaenaceae,,
g__Pseudanabaena,f__Pseudanabaenaceae,genus,g__Pseudanabaena,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Pseudanabaenales,f__Pseudanabaenaceae,g__Pseudanabaena,
o__Methanosarcinales,c__Methanomicrobia,order,o__Methanosarcinales,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,,,
g__Blautia,f__Lachnospiraceae,genus,g__Blautia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,
s__pacifica,g__Salinispora,species,s__pacifica,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Salinispora,s__pacifica
o__Halanaerobiales,c__Clostridia,order,o__Halanaerobiales,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Halanaerobiales,,,
f__Halobacteroidaceae,o__Halanaerobiales,family,f__Halobacteroidaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Halanaerobiales,f__Halobacteroidaceae,,
o__Actinomycetales,c__Actinobacteria,order,o__Actinomycetales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Actinomycetaceae,o__Actinomycetales,family,f__Actinomycetaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
g__Actinomyces,f__Actinomycetaceae,genus,g__Actinomyces,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,
f__Desulfobulbaceae,o__Desulfobacterales,family,f__Desulfobulbaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfobacterales,f__Desulfobulbaceae,,
g__Desulfobulbus,f__Desulfobulbaceae,genus,g__Desulfobulbus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
g__Leptospirillum,f__Nitrospiraceae,genus,g__Leptospirillum,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Leptospirillum,
f__[Exiguobacteraceae],o__Bacillales,family,f__[Exiguobacteraceae],Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__[Exiguobacteraceae],,
g__Exiguobacterium,f__[Exiguobacteraceae],genus,g__Exiguobacterium,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__[Exiguobacteraceae],g__Exiguobacterium,
g__Cronobacter,f__Enterobacteriaceae,genus,g__Cronobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Cronobacter,
c__[Methylacidiphilia],p__Verrucomicrobia,class,c__[Methylacidiphilia],Root,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilia],,,,
o__Methylacidiphilales,c__[Methylacidiphilia],order,o__Methylacidiphilales,Root,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilia],o__Methylacidiphilales,,,
f__Methylacidiphilaceae,o__Methylacidiphilales,family,f__Methylacidiphilaceae,Root,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilia],o__Methylacidiphilales,f__Methylacidiphilaceae,,
c__Sphingobacteriia,p__Bacteroidetes,class,c__Sphingobacteriia,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,,,,
o__Sphingobacteriales,c__Sphingobacteriia,order,o__Sphingobacteriales,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,,,
f__Sphingobacteriaceae,o__Sphingobacteriales,family,f__Sphingobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,,
g__Actinomyces_1,f__Actinomycetaceae,genus,g__Actinomyces_1,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces_1,
c__Zetaproteobacteria,p__Proteobacteria,class,c__Zetaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Zetaproteobacteria,,,,
o__Mariprofundales,c__Zetaproteobacteria,order,o__Mariprofundales,Root,k__Bacteria,p__Proteobacteria,c__Zetaproteobacteria,o__Mariprofundales,,,
f__Mariprofundaceae,o__Mariprofundales,family,f__Mariprofundaceae,Root,k__Bacteria,p__Proteobacteria,c__Zetaproteobacteria,o__Mariprofundales,f__Mariprofundaceae,,
g__Mariprofundus,f__Mariprofundaceae,genus,g__Mariprofundus,Root,k__Bacteria,p__Proteobacteria,c__Zetaproteobacteria,o__Mariprofundales,f__Mariprofundaceae,g__Mariprofundus,
o__Phycisphaerales,c__Phycisphaerae,order,o__Phycisphaerales,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,,,
f__Phycisphaeraceae,o__Phycisphaerales,family,f__Phycisphaeraceae,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,,
p__Gemmatimonadetes,k__Bacteria,phylum,p__Gemmatimonadetes,Root,k__Bacteria,p__Gemmatimonadetes,,,,,
c__Gemmatimonadetes,p__Gemmatimonadetes,class,c__Gemmatimonadetes,Root,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,,,,
o__Gemmatimonadales,c__Gemmatimonadetes,order,o__Gemmatimonadales,Root,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,,,
p__Ignavibacteriae,k__Bacteria,phylum,p__Ignavibacteriae,Root,k__Bacteria,p__Ignavibacteriae,,,,,
c__Ignavibacteria,p__Ignavibacteriae,class,c__Ignavibacteria,Root,k__Bacteria,p__Ignavibacteriae,c__Ignavibacteria,,,,
o__Ignavibacteriales,c__Ignavibacteria,order,o__Ignavibacteriales,Root,k__Bacteria,p__Ignavibacteriae,c__Ignavibacteria,o__Ignavibacteriales,,,
f__Ignavibacteriaceae,o__Ignavibacteriales,family,f__Ignavibacteriaceae,Root,k__Bacteria,p__Ignavibacteriae,c__Ignavibacteria,o__Ignavibacteriales,f__Ignavibacteriaceae,,
g__Ignavibacterium,f__Ignavibacteriaceae,genus,g__Ignavibacterium,Root,k__Bacteria,p__Ignavibacteriae,c__Ignavibacteria,o__Ignavibacteriales,f__Ignavibacteriaceae,g__Ignavibacterium,
g__Paraprevotella,f__Prevotellaceae,genus,g__Paraprevotella,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Paraprevotella,
g__Nitratireductor,f__Phyllobacteriaceae,genus,g__Nitratireductor,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Nitratireductor,
g__Rahnella,f__Enterobacteriaceae,genus,g__Rahnella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Rahnella,
s__sphaeroides,g__Rhodobacter,species,s__sphaeroides,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__sphaeroides
s__putida,g__Pseudomonas,species,s__putida,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__putida
s__dysgalactiae,g__Streptococcus,species,s__dysgalactiae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__dysgalactiae
c__Acidithiobacillia,p__Proteobacteria,class,c__Acidithiobacillia,Root,k__Bacteria,p__Proteobacteria,c__Acidithiobacillia,,,,
o__Acidithiobacillales,c__Acidithiobacillia,order,o__Acidithiobacillales,Root,k__Bacteria,p__Proteobacteria,c__Acidithiobacillia,o__Acidithiobacillales,,,
f__Acidithiobacillaceae,o__Acidithiobacillales,family,f__Acidithiobacillaceae,Root,k__Bacteria,p__Proteobacteria,c__Acidithiobacillia,o__Acidithiobacillales,f__Acidithiobacillaceae,,
g__Acidithiobacillus,f__Acidithiobacillaceae,genus,g__Acidithiobacillus,Root,k__Bacteria,p__Proteobacteria,c__Acidithiobacillia,o__Acidithiobacillales,f__Acidithiobacillaceae,g__Acidithiobacillus,
s__agalactiae,g__Streptococcus,species,s__agalactiae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__agalactiae
c__Rubrobacteria,p__Actinobacteria,class,c__Rubrobacteria,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,,,,
o__Rubrobacterales,c__Rubrobacteria,order,o__Rubrobacterales,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,,,
f__Rubrobacteraceae,o__Rubrobacterales,family,f__Rubrobacteraceae,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,,
g__Rubrobacter,f__Rubrobacteraceae,genus,g__Rubrobacter,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,g__Rubrobacter,
o__[Geodermatophilales],c__Actinobacteria,order,o__[Geodermatophilales],Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__[Geodermatophilales],,,
f__Geodermatophilaceae,o__[Geodermatophilales],family,f__Geodermatophilaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__[Geodermatophilales],f__Geodermatophilaceae,,
f__Halothiobacillaceae,o__Chromatiales,family,f__Halothiobacillaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Halothiobacillaceae,,
g__Hydrogenobacter,f__Aquificaceae,genus,g__Hydrogenobacter,Root,k__Bacteria,p__Aquificae,c__Aquificae,o__Aquificales,f__Aquificaceae,g__Hydrogenobacter,
g__Kribbella,f__Nocardioidaceae,genus,g__Kribbella,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Kribbella,
g__Oligotropha,f__Bradyrhizobiaceae,genus,g__Oligotropha,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Oligotropha,
s__carboxidovorans,g__Oligotropha,species,s__carboxidovorans,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Oligotropha,s__carboxidovorans
f__Spirolinaceae,o__Chroococcales,family,f__Spirolinaceae,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chroococcales,f__Spirolinaceae,,
s__polymyxa,g__Paenibacillus,species,s__polymyxa,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__polymyxa
g__Methylocystis,f__Methylocystaceae,genus,g__Methylocystis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,
g__Mobiluncus,f__Actinomycetaceae,genus,g__Mobiluncus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Mobiluncus,
g__Lysinibacillus,f__Planococcaceae,genus,g__Lysinibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Lysinibacillus,
g__Desulfosarcina,f__Desulfobacteraceae,genus,g__Desulfosarcina,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfosarcina,
g__Thermoanaerobacter,f__Thermoanaerobacteraceae,genus,g__Thermoanaerobacter,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Thermoanaerobacter,
g__Tetragenococcus,f__Enterococcaceae,genus,g__Tetragenococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Tetragenococcus,
g__Weissella,f__Lactobacillaceae,genus,g__Weissella,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella,
c__Thermoleophilia,p__Actinobacteria,class,c__Thermoleophilia,Root,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,,,,
o__Solirubrobacterales,c__Thermoleophilia,order,o__Solirubrobacterales,Root,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,,,
o__S1204,c__[Babelacia],order,o__S1204,Root,k__Bacteria,p__TM6,c__[Babelacia],o__S1204,,,
s__dentium,g__Bifidobacterium,species,s__dentium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__dentium
f__[Tissierellaceae],o__Clostridiales,family,f__[Tissierellaceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],,
g__Peptoniphilus,f__[Tissierellaceae],genus,g__Peptoniphilus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Peptoniphilus,
s__harei,g__Peptoniphilus,species,s__harei,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Peptoniphilus,s__harei
g__Granulicella,f__Acidobacteriaceae,genus,g__Granulicella,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella,
s__vaginae,g__Atopobium,species,s__vaginae,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,s__vaginae
g__Microvirga,f__Methylobacteriaceae,genus,g__Microvirga,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Microvirga,
s__subtilis,g__Bacillus,species,s__subtilis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__subtilis
g__Anaerostipes,f__Lachnospiraceae,genus,g__Anaerostipes,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerostipes,
g__Acidiphilium,f__Acetobacteraceae,genus,g__Acidiphilium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acidiphilium,
o__Sulfolobales,c__Crenarchaeota,order,o__Sulfolobales,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,o__Sulfolobales,,,
f__Sulfolobaceae,o__Sulfolobales,family,f__Sulfolobaceae,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,o__Sulfolobales,f__Sulfolobaceae,,
g__Sulfolobus,f__Sulfolobaceae,genus,g__Sulfolobus,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,
f__Aerococcaceae,o__Lactobacillales,family,f__Aerococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,,
g__Aerococcus,f__Aerococcaceae,genus,g__Aerococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,
g__Xanthomonas,f__Xanthomonadaceae,genus,g__Xanthomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,
f__Halomonadaceae,o__Oceanospirillales,family,f__Halomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,,
g__Halomonas,f__Halomonadaceae,genus,g__Halomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Halomonas,
g__Flavonifractor,f__Oscillospiraceae,genus,g__Flavonifractor,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Oscillospiraceae,g__Flavonifractor,
p__Microgenomates,k__Bacteria,phylum,p__Microgenomates,Root,k__Bacteria,p__Microgenomates,,,,,
o__LG048,c__GN05,order,o__LG048,Root,k__Bacteria,p__Spirochaetes,c__GN05,o__LG048,,,
p__AC1,k__Bacteria,phylum,p__AC1,Root,k__Bacteria,p__AC1,,,,,
f__Melioribacteraceae,o__Ignavibacteriales,family,f__Melioribacteraceae,Root,k__Bacteria,p__Ignavibacteriae,c__Ignavibacteria,o__Ignavibacteriales,f__Melioribacteraceae,,
g__Melioribacter,f__Melioribacteraceae,genus,g__Melioribacter,Root,k__Bacteria,p__Ignavibacteriae,c__Ignavibacteria,o__Ignavibacteriales,f__Melioribacteraceae,g__Melioribacter,
g__Dechloromonas,f__Rhodocyclaceae,genus,g__Dechloromonas,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Dechloromonas,
g__Nocardia,f__Nocardiaceae,genus,g__Nocardia,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,
o__Cardiobacteriales,c__Gammaproteobacteria,order,o__Cardiobacteriales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,,,
f__Cardiobacteriaceae,o__Cardiobacteriales,family,f__Cardiobacteriaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,,
g__Cardiobacterium,f__Cardiobacteriaceae,genus,g__Cardiobacterium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Cardiobacterium,
g__Myroides,f__Flavobacteriaceae,genus,g__Myroides,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Myroides,
s__odoratimimus,g__Myroides,species,s__odoratimimus,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Myroides,s__odoratimimus
s__oxytoca,g__Klebsiella,species,s__oxytoca,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Klebsiella,s__oxytoca
f__Syntrophaceae,o__Syntrophobacterales,family,f__Syntrophaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,f__Syntrophaceae,,
g__Desulfobacca,f__Syntrophaceae,genus,g__Desulfobacca,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,f__Syntrophaceae,g__Desulfobacca,
p__[Coprothermobacteria],k__Bacteria,phylum,p__[Coprothermobacteria],Root,k__Bacteria,p__[Coprothermobacteria],,,,,
g__Caulobacter,f__Caulobacteraceae,genus,g__Caulobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,
g__Buchnera,f__Enterobacteriaceae,genus,g__Buchnera,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Buchnera,
