tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
f__Listeriaceae,o__Bacillales,family,f__Listeriaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,,
g__Listeria,f__Listeriaceae,genus,g__Listeria,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,
s__monocytogenes,g__Listeria,species,s__monocytogenes,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__monocytogenes
g__Yersinia,f__Enterobacteriaceae,genus,g__Yersinia,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Yersinia,
s__abortus,g__Brucella,species,s__abortus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,s__abortus
s__gonorrhoeae,g__Neisseria,species,s__gonorrhoeae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__gonorrhoeae
f__Phyllobacteriaceae,o__Rhizobiales,family,f__Phyllobacteriaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,,
g__Mesorhizobium,f__Phyllobacteriaceae,genus,g__Mesorhizobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,
g__Borrelia,f__Spirochaetaceae,genus,g__Borrelia,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Borrelia,
p__Verrucomicrobia,k__Bacteria,phylum,p__Verrucomicrobia,Root,k__Bacteria,p__Verrucomicrobia,,,,,
c__Verrucomicrobiae,p__Verrucomicrobia,class,c__Verrucomicrobiae,Root,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,,,,
